ID,Name,Shape Library,Page ID,Contained By,Text Area 1,Line Source,Line Destination
1,Page,,1,,3.0 Record OJT Attendance,,
2,Terminator,Flowchart Shapes,1,,Student,,
3,Process,Flowchart Shapes,1,,3.1 Receive Attendance Request,,
4,Process,Flowchart Shapes,1,,3.2 Capture Location,,
5,Terminator,Flowchart Shapes,1,,GPS / Location Service,,
6,Process,Flowchart Shapes,1,,3.3 Validate Geofence,,
7,Data Store,Flowchart Shapes,1,,D2: OJT Application Records,,
8,Process,Flowchart Shapes,1,,3.4 Verify Student Identity,,
9,Terminator,Flowchart Shapes,1,,Facial Recognition Service,,
10,Process,Flowchart Shapes,1,,3.5 Validate Attendance,,
11,Process,Flowchart Shapes,1,,3.6 Record Time Entry,,
12,Data Store,Flowchart Shapes,1,,D3: Attendance Records,,
13,Process,Flowchart Shapes,1,,3.7 Calculate Rendered Hours,,
14,Line,,1,,Time In/Time Out request,2,3
15,Line,,1,,Attendance request,3,4
16,Line,,1,,Current location request,4,5
17,Line,,1,,Current GPS coordinates,5,4
18,Line,,1,,Current location data,4,6
19,Line,,1,,Authorized OJT location request,6,7
20,Line,,1,,Authorized OJT location,7,6
21,Line,,1,,Validated location result,6,8
22,Line,,1,,Face verification request,8,9
23,Line,,1,,Face verification result,9,8
24,Line,,1,,Identity verification result,8,10
25,Line,,1,,Validated attendance request,10,11
26,Line,,1,,Time In/Time Out record,11,12
27,Line,,1,,Attendance time records,12,13
28,Line,,1,,Rendered hours,13,12
29,Line,,1,,"Attendance result, rendered hours",13,2
